Geographic,Total_Labor,With_Residence,Work_in_PoR,Worked_outside_PoR,No_Residence
Albany,157933,77968,32218,45750,79965
Allegany,19545,8541,3683,4858,11004
Bronx,582554,582554,523684,58870,0
Broome,84232,41175,12572,28603,43057
Cattaraugus,32891,16092,6504,9588,16799
Cayuga,35549,16284,7381,8903,19265
Chautauqua,54703,31842,11932,19910,22861
Chemung,36723,25973,6430,19543,10750
Chenango,21140,6515,2315,4200,14625
Clinton,34916,15316,6314,9002,19600
Columbia,28927,9520,2411,7109,19407
Cortland,22493,13261,4885,8376,9232
Delaware,19552,6317,2639,3678,13235
Dutchess,142352,51845,9748,42097,90507
Erie,441864,289557,92352,197205,152307
Essex,16919,7059,3117,3942,9860
Franklin,18859,7320,3517,3803,11539
Fulton,24040,11941,3914,8027,12099
Genesee,28903,11782,3790,7992,17121
Greene,19999,5819,1464,4355,14180
Hamilton,1767,529,306,223,1238
Herkimer,28042,12718,3516,9202,15324
Jefferson,51958,32251,15308,16943,19707
Kings,1197935,1197935,1152049,45886,0
Lewis,11754,3128,1045,2083,8626
Livingston,28667,15410,3949,11461,13257
Madison,33349,13974,4089,9885,19375
Monroe,358706,175705,60935,114770,183001
Montgomery,21234,12100,3825,8275,9134
Nassau,675702,675344,80276,595068,358
New York,887191,887191,833622,53569,0
Niagara,98856,55956,17315,38641,42900
Oneida,100151,53204,21645,31559,46947
Onondaga,218911,103139,40176,62963,115772
Ontario,54024,18642,5355,13287,35382
Orange,176767,105295,22358,82937,71472
Orleans,17502,6083,1990,4093,11419
Oswego,53051,20474,6889,13585,32577
Otsego,27257,11375,5186,6189,15882
Putnam,49793,16482,1742,14740,33311
Queens,1101747,1101747,984736,117011,0
Rensselaer,79756,39247,9437,29810,40509
Richmond,211171,211171,194599,16572,0
Rockland,144319,137401,21944,115457,6918
St. Lawrence,42818,19431,9188,10243,23387
Saratoga,119605,30673,8582,22091,88932
Schenectady,71932,48367,13422,34945,23565
Schoharie,13883,3732,1298,2434,10151
Schuyler,8130,1840,522,1318,6290
Seneca,14992,6144,1336,4808,8848
Steuben,42052,19856,6147,13709,22196
Suffolk,739441,739163,90648,648515,278
Sullivan,32218,8590,2474,6116,23628
Tioga,22388,5413,1357,4056,16975
Tompkins,49101,26372,11640,14732,22729
Ulster,85533,42106,11044,31062,43427
Warren,31330,18705,4539,14166,12625
Washington,28433,9564,1528,8036,18869
Wayne,43773,14262,3023,11239,29511
Westchester,471725,390072,85937,304135,81653
Wyoming,18005,7317,1984,5333,10688
Yates,11252,3787,1850,1937,7465
