Table 1
"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,,
Revised: 8-17-2017,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,,
County,Clinton   Kaine,Trump    Pence,Trump    Pence,Stein   Baraka,Clinton   Kaine,Johnson  Weld,Clinton   Kaine,Johnson  Weld,,,County,Arantxa Aranja,Neer R. Asherie,Mark Blickley,Robert L. Buchanan,Gary S. Canns,Willie Carter,Darrell Castle,Ariel Cohen,William J. Connolly,"""Rocky"" Rogue De La Fuente",Jason Fried,Zoltan Istvan Gyurko,,,County,Ben Hartnell,Tom Hoefling,Michael Frederick Ingbar,Lynn Kahn,Chris Keniston,Gloria La Riva,Jeffrey Mackler,Michael A. Maturen,Evan McMullin,Monica Moorehead,Jason Mutford,Clifton Roberts,,,County,Marshall Schoenke,Ryan Alan Scott,Emidio Soltysik,Tony Valdivia,J. J. Vogel-Walcutt,Esther Welsh,Barbara Whitaker,Robert M. Wolff,Blank,Void,Scattering,Total,,,,
,DEM,REP,CON,GRN,WOR,IND,WEP,LBT,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,
 Albany,"78,504","42,554","5,254","2,475","3,419","3,099","1,148","1,693",,, Albany,0,0,0,4,0,0,18,1,6,0,0,5,,, Albany,1,1,1,5,4,3,1,9,273,1,14,3,,, Albany,0,0,3,1,0,0,0,0,"1,350",145,"1,318","141,313",,,,
 Allegany,"4,646","11,421","1,104",275,173,527,63,208,,, Allegany,0,0,0,0,0,0,7,0,0,0,0,0,,, Allegany,0,1,0,0,0,0,0,1,90,0,0,0,,, Allegany,0,0,0,0,0,0,0,0,178,2,176,"18,872",,,,
 Broome,"37,106","37,337","3,606","1,546","1,631","2,187",475,"1,059",,, Broome,0,0,0,0,0,0,27,0,0,1,0,2,,, Broome,0,2,0,1,0,2,0,10,214,0,0,0,,, Broome,0,0,1,0,0,0,0,1,"1,038",67,864,"87,177",,,,
 Cattaraugus,"9,077","17,485","2,207",440,274,932,146,314,,, Cattaraugus,0,0,0,0,0,0,3,0,1,0,0,0,,, Cattaraugus,0,0,0,0,2,0,1,1,73,0,0,0,,, Cattaraugus,0,0,0,0,0,0,0,0,320,72,205,"31,553",,,,
 Cayuga,"12,779","15,316","2,068",501,541,"1,008",202,350,,, Cayuga,0,0,0,0,0,2,22,0,1,0,0,1,,, Cayuga,0,0,1,4,0,0,0,2,65,0,0,0,,, Cayuga,0,0,1,0,0,0,0,1,259,16,307,"33,447",,,,
 Chautauqua,"18,112","27,516","4,078",757,704,"1,601",275,602,,, Chautauqua,0,0,0,0,0,0,9,0,0,0,0,0,,, Chautauqua,0,0,0,0,0,0,0,0,95,0,0,0,,, Chautauqua,0,0,0,0,0,0,0,0,576,0,485,"54,810",,,,
 Chemung,"13,277","18,347","1,750",463,326,"1,012",154,435,,, Chemung,0,0,0,0,0,0,11,2,0,0,0,0,,, Chemung,0,2,0,0,3,0,0,0,76,0,0,0,,, Chemung,0,0,0,0,0,0,0,0,395,0,261,"36,514",,,,
 Chenango,"6,417","10,849","1,072",358,258,634,100,282,,, Chenango,0,0,0,0,0,0,2,0,0,0,0,2,,, Chenango,0,0,0,0,0,0,0,0,17,0,0,0,,, Chenango,0,0,0,0,0,0,0,0,148,11,169,"20,319",,,,
 Clinton,"14,217","13,312","1,137",613,634,964,208,348,,, Clinton,0,0,0,0,0,1,2,0,0,0,0,0,,, Clinton,1,2,0,7,1,1,0,5,48,0,0,0,,, Clinton,0,0,2,0,0,0,0,0,"2,414",17,602,"34,536",,,,
 Columbia,"14,146","11,867","1,889",598,865,626,273,318,,, Columbia,0,0,0,0,0,0,8,0,3,1,0,2,,, Columbia,0,0,0,3,0,0,0,1,63,0,1,0,,, Columbia,0,0,0,0,0,0,0,0,230,20,238,"31,152",,,,
 Cortland,"8,307","8,930",970,374,309,682,155,275,,, Cortland,0,0,0,1,0,0,1,0,0,0,0,1,,, Cortland,0,1,0,0,0,1,0,0,57,0,0,0,,, Cortland,0,0,0,0,0,0,0,0,209,0,180,"20,453",,,,
 Delaware,"6,194","10,827","1,115",377,333,476,100,174,,, Delaware,0,0,0,0,0,0,10,0,0,0,0,0,,, Delaware,0,0,0,0,1,0,0,3,39,0,0,0,,, Delaware,0,0,0,0,0,0,0,0,131,9,143,"19,932",,,,
 Dutchess,"58,910","54,366","7,431","1,986","2,602","2,366",749,"1,234",,, Dutchess,0,1,0,1,0,0,31,0,0,3,0,1,,, Dutchess,0,2,0,1,4,2,0,9,231,1,0,0,,, Dutchess,0,0,1,0,0,0,0,0,"1,084",216,"1,002","132,234",,,,
 Erie,"205,773","159,742","28,561","6,367","7,302","8,463","2,381","4,257",,, Erie,0,0,0,23,1,0,57,0,1,0,1,7,,, Erie,9,7,0,4,5,4,0,53,593,9,1,4,,, Erie,0,0,0,0,0,0,0,0,"7,912",0,0,"431,537",,,,
 Essex,"7,341","7,347",611,420,282,533,139,195,,, Essex,0,0,0,0,0,0,0,0,0,0,0,0,,, Essex,1,0,2,4,0,0,0,2,42,0,0,2,,, Essex,0,0,0,0,0,0,0,0,244,0,297,"17,462",,,,
 Franklin,"6,994","7,670",551,359,225,505,78,212,,, Franklin,0,0,0,0,0,0,5,0,0,0,0,0,,, Franklin,0,0,0,1,0,0,0,0,40,0,0,0,,, Franklin,0,0,0,0,0,0,0,0,227,10,312,"17,189",,,,
 Fulton,"6,215","12,331","1,131",311,177,532,104,247,,, Fulton,0,0,0,0,0,0,3,0,0,0,0,0,,, Fulton,0,0,0,0,0,0,0,0,17,0,1,0,,, Fulton,0,0,0,0,0,0,0,0,238,12,145,"21,464",,,,
 Genesee,"7,276","14,646","2,269",324,258,902,116,417,,, Genesee,0,0,0,0,0,0,5,0,0,0,0,0,,, Genesee,0,0,0,0,1,0,0,1,40,0,0,0,,, Genesee,0,0,0,0,0,0,0,0,240,4,177,"26,676",,,,
