"GEO_ID","NAME","B08007_001E","B08007_001M","B08007_002E","B08007_002M","B08007_003E","B08007_003M","B08007_004E","B08007_004M","B08007_005E","B08007_005M","B08007_006E","B08007_006M","B08007_007E","B08007_007M","B08007_008E","B08007_008M","B08007_009E","B08007_009M","B08007_010E","B08007_010M","B08007_011E","B08007_011M","B08007_012E","B08007_012M","B08007_013E","B08007_013M","B08007_014E","B08007_014M","B08007_015E","B08007_015M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Worked in state of residence:","Margin of Error!!Total:!!Worked in state of residence:","Estimate!!Total:!!Worked in state of residence:!!Worked in county of residence","Margin of Error!!Total:!!Worked in state of residence:!!Worked in county of residence","Estimate!!Total:!!Worked in state of residence:!!Worked outside county of residence","Margin of Error!!Total:!!Worked in state of residence:!!Worked outside county of residence","Estimate!!Total:!!Worked outside state of residence","Margin of Error!!Total:!!Worked outside state of residence","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Worked in state of residence:","Margin of Error!!Total:!!Male:!!Worked in state of residence:","Estimate!!Total:!!Male:!!Worked in state of residence:!!Worked in county of residence","Margin of Error!!Total:!!Male:!!Worked in state of residence:!!Worked in county of residence","Estimate!!Total:!!Male:!!Worked in state of residence:!!Worked outside county of residence","Margin of Error!!Total:!!Male:!!Worked in state of residence:!!Worked outside county of residence","Estimate!!Total:!!Male:!!Worked outside state of residence","Margin of Error!!Total:!!Male:!!Worked outside state of residence","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Worked in state of residence:","Margin of Error!!Total:!!Female:!!Worked in state of residence:","Estimate!!Total:!!Female:!!Worked in state of residence:!!Worked in county of residence","Margin of Error!!Total:!!Female:!!Worked in state of residence:!!Worked in county of residence","Estimate!!Total:!!Female:!!Worked in state of residence:!!Worked outside county of residence","Margin of Error!!Total:!!Female:!!Worked in state of residence:!!Worked outside county of residence","Estimate!!Total:!!Female:!!Worked outside state of residence","Margin of Error!!Total:!!Female:!!Worked outside state of residence"
"0500000US36001","Albany County, New York","157933","1603","156744","1565","123875","1743","32869","1236","1189","216","79889","1151","79068","1154","61544","1264","17524","792","821","158","78044","1131","77676","1110","62331","1132","15345","807","368","157"
"0500000US36003","Allegany County, New York","19545","411","19030","397","13499","406","5531","287","515","98","10339","291","9921","278","6766","302","3155","177","418","91","9206","263","9109","264","6733","277","2376","203","97","32"
"0500000US36005","Bronx County, New York","582554","4038","569519","4062","247320","3537","322199","4163","13035","953","292006","2946","283812","3067","114323","2419","169489","3154","8194","682","290548","2669","285707","2652","132997","2469","152710","2761","4841","573"
"0500000US36007","Broome County, New York","84232","1283","83019","1270","75158","1334","7861","522","1213","250","43085","809","42255","802","37134","853","5121","386","830","184","41147","804","40764","802","38024","789","2740","310","383","139"
"0500000US36009","Cattaraugus County, New York","32891","556","31605","560","22791","579","8814","427","1286","178","17042","352","16334","348","11382","354","4952","284","708","116","15849","372","15271","371","11409","405","3862","242","578","125"
"0500000US36011","Cayuga County, New York","35549","676","35488","672","21646","739","13842","582","61","32","18572","443","18524","442","11174","483","7350","359","48","28","16977","482","16964","481","10472","520","6492","402","13","11"
"0500000US36013","Chautauqua County, New York","54703","897","51945","915","48375","977","3570","299","2758","255","28543","603","26865","651","24794","661","2071","195","1678","204","26160","573","25080","564","23581","603","1499","209","1080","160"
"0500000US36015","Chemung County, New York","36723","731","35357","725","27616","807","7741","569","1366","218","18590","515","18104","517","13827","533","4277","428","486","130","18133","578","17253","557","13789","563","3464","381","880","174"
"0500000US36017","Chenango County, New York","21140","444","21024","446","14214","535","6810","456","116","53","11053","313","10976","314","7024","346","3952","322","77","34","10087","298","10048","301","7190","318","2858","234","39","32"
